survey_id	zone	node_id	sequence	x	z	y	event	label	neighbors	source	confidence
20260712-170700-z102	102	1999	1999	91.570	-694.697	29.157	point		1998,2000	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2000	2000	91.049	-693.137	29.471	point		1999,2001	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2001	2001	89.990	-689.925	29.747	point		2000,2002	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2002	2002	89.351	-687.985	29.939	point		2001,2003	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2003	2003	88.618	-685.756	30.093	point		2002,2004	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2004	2004	87.692	-682.891	30.559	point		2003,2005	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2005	2005	87.147	-680.920	30.762	point		2004,2006	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2006	2006	86.596	-678.242	30.969	point		2005,2007	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2007	2007	86.159	-675.717	31.161	point		2006,2008	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2008	2008	85.662	-672.725	31.628	point		2007,2009	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2009	2009	85.329	-670.716	31.801	point		2008,2010	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2010	2010	84.830	-667.699	32.113	point		2009,2011	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2011	2011	84.501	-665.707	32.397	point		2010,2012	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2012	2012	84.031	-662.867	32.790	point		2011,2013	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2013	2013	83.634	-660.469	32.975	point		2012,2014	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2014	2014	83.134	-657.444	32.871	point		2013,2015	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2015	2015	82.839	-655.658	32.761	point		2014,2016	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2016	2016	82.334	-652.631	32.459	point		2015,2017	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2017	2017	81.923	-650.611	32.329	point		2016,2018	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2018	2018	81.080	-647.648	32.181	point		2017,2019	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2019	2019	80.283	-645.371	32.068	point		2018,2020	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2020	2020	79.193	-642.475	32.000	point		2019,2021	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2021	2021	78.458	-640.556	32.000	point		2020,2022	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2022	2022	77.350	-637.678	32.000	point		2021,2023	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2023	2023	76.550	-635.602	32.019	point		2022,2024	live-route-recording-20260712-170700-z102	proven
